File,Centroid Diff Wiener,Mean Diff Wiener,Centroid Diff Lib Wiener,Mean Diff Lib Wiener
0.wav,41.949868584140816,91.13865494728088,4.9791326817580455,21.135185658931732
1.wav,49.543341587964775,92.30897426605225,4.0578824149282084,2.5850726291537285
10.wav,57.25028161982557,93.50769519805908,5.849570551883552,1.0614505968987942
11.wav,61.64990426292298,95.2116847038269,5.3847623710279136,0.6906756199896336
12.wav,45.25658926853083,90.52507281303406,4.108429228013604,0.6751050241291523
13.wav,22.213863236129754,69.81077194213867,5.448360748919818,0.32406572718173265
14.wav,11.167036465042957,38.11941742897034,9.448966139387895,0.509495148435235
15.wav,57.521188068255604,92.99920201301575,7.281840468150788,1.5293659642338753
16.wav,34.84149273332789,66.26745462417603,24.431696099232575,7.545650078100152e-05
17.wav,27.002644145907396,68.34698915481567,12.035647235596171,1.3335563242435455
18.wav,26.622143390823545,65.10917544364929,3.9473136125805586,0.40135690942406654
19.wav,18.668406369590187,48.10578525066376,3.6320491028126414,0.14626465272158384
2.wav,33.537634520029904,82.34437108039856,4.545738322537061,1.6215212643146515
20.wav,35.14712473274203,72.41361141204834,6.687633997605536,0.11988218175247312
21.wav,20.1212519646588,52.27774977684021,3.6667004069048192,0.18879494164139032
22.wav,15.212109809511421,43.599510192871094,9.381521647822279,0.24124206975102425
23.wav,35.670652733158505,84.23401713371277,9.793807298153284,3.4972496330738068
24.wav,9.815558829116382,29.986542463302612,8.590719489494232,0.06026085466146469
25.wav,23.94907375468658,62.842726707458496,6.377006181770748,0.08026176365092397
26.wav,23.64657590722274,62.8737211227417,7.702590979519061,0.15701963566243649
27.wav,22.383393916641953,48.05932939052582,10.052213907588843,0.0342697196174413
28.wav,10.033975709804515,35.75750291347504,8.534997808200325,0.4194817040115595
29.wav,45.862380504703786,90.65439701080322,3.553879963005113,0.31905961222946644
3.wav,36.35494391088347,88.52156400680542,5.312012220827707,0.21237670443952084
30.wav,10.933851606226872,39.91697430610657,8.00668393913063,0.3073042491450906
31.wav,20.494657315416752,52.226799726486206,7.7260136360096805,0.35964169073849916
32.wav,16.759369991619653,50.74602961540222,8.55119444096691,0.11957038659602404
33.wav,9.802736434131424,35.11621356010437,8.331910474382143,0.09624959784559906
34.wav,51.13149010443625,91.74330234527588,6.564571200340284,0.3757859580218792
35.wav,14.094969091059761,47.84190356731415,8.53426320053712,0.3330034436658025
36.wav,34.05414360692259,73.96509647369385,13.294506758098763,0.06704921252094209
37.wav,23.806095398083976,46.25941812992096,12.035654234485863,0.4070321563631296
38.wav,13.575710320106754,42.34892725944519,10.208153613334922,0.037889782106503844
39.wav,8.46230327879931,33.69382321834564,5.776533935417294,0.034438096918165684
4.wav,17.98016055548625,70.75685262680054,7.911081509211919,0.44926642440259457
40.wav,33.54342396604623,85.64342260360718,4.772185037460744,0.19086918327957392
41.wav,42.07075945508535,79.19824719429016,11.7538394026454,0.20248203072696924
42.wav,50.27857999011777,94.24397945404053,5.363615778743432,1.0555182583630085
43.wav,59.28808315101735,94.17068362236023,8.423918358618437,0.17097858944907784
44.wav,38.250432895582975,91.64723753929138,2.6896034735213874,0.5110401660203934
45.wav,36.89331245675746,79.06279563903809,5.153126904614318,3.790133073925972
46.wav,49.04606923483297,91.80474281311035,7.854024387320907,0.24623817298561335
47.wav,42.524321381282036,87.81548142433167,6.367993316915318,0.385716138407588
48.wav,43.95124112219924,91.17178320884705,4.595443231480433,1.3430590741336346
49.wav,61.10379337438848,95.19838690757751,8.052530640078537,12.5974640250206
5.wav,58.617383376771635,96.18333578109741,4.486772471143842,1.4746049419045448
50.wav,39.98131279698367,88.64226341247559,5.254910455421123,0.33200655598193407
51.wav,36.29875843187551,84.55010652542114,5.027607789104235,0.3948044031858444
52.wav,59.38251250426313,94.05713677406311,7.59686274637904,1.0054823942482471
53.wav,17.01379518633321,64.60550427436829,7.831756193458679,0.4661852028220892
54.wav,41.162712285200044,84.0083360671997,7.039410173307845,0.1512702088803053
55.wav,43.58525639795431,93.86425614356995,5.160767036062602,2.063692919909954
56.wav,50.57645342883674,92.4871563911438,7.166438235840747,0.2051502699032426
57.wav,53.314587623038015,93.94777417182922,9.593174808128682,1.4174634590744972
58.wav,44.52281481889515,90.2134358882904,6.153813473994706,0.28107017278671265
59.wav,23.883445750679634,79.29624319076538,3.3085197510303104,2.6367226615548134
6.wav,40.13486739875389,77.96820998191833,11.26793737980643,0.9481007233262062
60.wav,61.470471359782216,94.83643174171448,4.572397739589747,0.02807087148539722
61.wav,48.999997775979445,92.70024299621582,2.9129112958715555,2.3514799773693085
62.wav,39.25636248181151,88.00305724143982,5.468254093492301,0.10532044107094407
63.wav,46.92525129729495,94.28202509880066,3.0674961088366195,3.0361203476786613
64.wav,37.15361051386572,81.6407322883606,7.198878860291924,2.1996673196554184
65.wav,18.68368392061573,63.63304257392883,5.743815821047309,0.7868031039834023
66.wav,31.28211056148879,84.24086570739746,9.213756494485645,1.3084692880511284
67.wav,30.056930592196128,72.82674312591553,7.555193358511916,0.008952407370088622
68.wav,50.878428365066085,96.13838791847229,7.273166903155233,7.179675996303558
69.wav,43.031512879342145,97.22157120704651,3.9365963069380574,9.419963508844376
7.wav,48.83826700152803,90.60614705085754,7.355237613973934,1.7618512734770775
70.wav,31.87052495836587,83.61149430274963,3.7549974614340926,2.0924268290400505
71.wav,54.63866828730971,93.50637197494507,4.325616655660472,0.44345492497086525
72.wav,53.78320960586148,91.46016240119934,5.642921954186002,0.9191866964101791
73.wav,38.23544949084167,83.84068608283997,5.708664288562574,1.063419133424759
74.wav,55.17663102687621,93.43374967575073,7.2591930798063435,0.8391593582928181
75.wav,47.81624004179803,90.73435068130493,5.426060826591439,1.3596580363810062
76.wav,51.783526902151245,92.8098976612091,5.615137370293934,0.33510378561913967
77.wav,23.350938892739702,79.08549904823303,5.927014829788291,0.8755040355026722
78.wav,43.57472542881811,81.7428708076477,5.45996784388677,7.329124957323074
79.wav,61.552216318342225,96.0239589214325,5.318127796726749,0.15144870849326253
8.wav,28.784843836552515,77.78393030166626,4.684694515348369,0.7097397465258837
80.wav,57.9695653584284,96.95269465446472,7.116076719941253,0.8463717997074127
81.wav,42.83321653848904,88.53703141212463,5.873957253327049,2.601417526602745
82.wav,49.17317252824597,90.19782543182373,9.800493640530066,2.2157303988933563
83.wav,54.528861610813514,95.01515030860901,5.385231010025364,0.33576677087694407
84.wav,37.97915911811289,83.45116972923279,5.599025196485711,3.1407013535499573
85.wav,37.83132134108082,87.68619298934937,5.142861093128568,0.18917341949418187
86.wav,61.23206384364608,95.32078504562378,6.332281016261825,0.8587311021983624
87.wav,66.0488530230505,97.03733921051025,5.38095013018325,3.1806573271751404
88.wav,67.46136232796863,97.32849597930908,7.009329436716216,0.6195354275405407
89.wav,10.954573736384576,46.63240313529968,8.434275018117283,0.769119756296277
9.wav,40.78503573490284,85.98167300224304,5.668864953596993,1.4392205514013767
90.wav,18.703447338070987,62.81033754348755,3.6688486994784353,3.5415586084127426
91.wav,62.938875808033856,95.88261842727661,4.379077687630245,1.0863824747502804
92.wav,67.52159539960618,96.65961265563965,5.9367471608745985,1.40211321413517
93.wav,30.028119783317397,74.02029633522034,4.655663435235983,0.039456505328416824
94.wav,38.47991426748374,80.50900101661682,9.61486109343852,0.40138144977390766
95.wav,34.39120790855936,75.74710249900818,10.340959488241094,0.27319241780787706
96.wav,36.03689272400163,86.08238101005554,4.626438760856033,0.6875531282275915
97.wav,24.286233130559648,57.42998123168945,5.460294575200626,0.2064998960122466
98.wav,15.553960295643273,44.519880414009094,5.975255381928847,0.4398474935442209
99.wav,29.22561063375807,79.23582196235657,3.85843565149835,0.2652405994012952
