File,Centroid Diff Wiener,Mean Diff Wiener,Centroid Diff Lib Wiener,Mean Diff Lib Wiener
0.wav,46.1248874343484,3982.38525390625,159.76130777753187,55706.475830078125
1.wav,74.49473664503095,2792.854118347168,252.74039662791793,38485.70251464844
10.wav,63.50351948030436,92.23119616508484,273.3138328404866,20.93188613653183
11.wav,37.85224772678162,97.67398834228516,161.59384833223228,51.08770728111267
12.wav,89.33561974286077,68.54128837585449,205.70293328212884,234.26198959350586
13.wav,66.69263389103439,66.95194244384766,103.68304937286814,9.824461489915848
14.wav,107.09742205192686,257.3436975479126,128.71239031843652,480.4152488708496
15.wav,29.098650872591413,497.61013984680176,179.49404306014372,8566.86782836914
16.wav,261.6207017255431,1124.9151229858398,418.7754668427868,3531.253433227539
17.wav,49.60403033633799,1252.9289245605469,96.92092472253016,4117.250061035156
18.wav,267.68259430011534,3057.3732376098633,407.5653656805746,8985.614013671875
19.wav,267.87256074756243,765.5496120452881,351.2739088825998,1565.4719352722168
2.wav,40.948696487884064,88.61327171325684,50.658816559127104,34.46076810359955
20.wav,283.59425025641076,89508.84399414062,467.5864980548307,325119.384765625
21.wav,77.265557870122,167.23476648330688,107.59625611987352,458.9221954345703
22.wav,222.90376222019987,646.3118076324463,277.46494226386574,1220.0440406799316
23.wav,33.63465087482916,72.1303939819336,68.49647178731767,82.95263648033142
24.wav,464.42634763887554,111472.79052734375,523.212486766389,159355.1025390625
25.wav,592.9396469447971,3109.159469604492,815.0608688702919,8543.624877929688
26.wav,292.74145306087473,3040.91739654541,405.39618660122613,8373.375701904297
27.wav,501.94037833927496,4777.347564697266,662.5781626174696,9293.445587158203
28.wav,62.43871198872234,49.81113076210022,71.46059425032931,21.548189222812653
29.wav,37.04344860840839,78.22186946868896,63.809594947228454,133.77432823181152
3.wav,69.23645394806995,98.44129681587219,55.624638004982685,86.39179468154907
30.wav,38.24503817050544,44.08555328845978,47.44041408337943,7.224015146493912
31.wav,40.41771046702707,80.5104672908783,27.307068610534557,59.350770711898804
32.wav,44.485876391839874,89.59028720855713,33.22187174927513,78.89050245285034
33.wav,157.25278628155453,17.665308713912964,180.47509453626452,81.52232766151428
34.wav,70.33471188428393,99.44603443145752,40.68923167551296,93.26555728912354
35.wav,54.15603034373561,92.90815591812134,46.53622264874591,86.35790348052979
36.wav,64.73301386635902,97.626131772995,48.10778242059085,90.87585806846619
37.wav,66.56829927047706,96.72907590866089,101.67589432497475,93.93826723098755
38.wav,56.177620746947056,92.22792983055115,52.02614130596495,86.52387857437134
39.wav,60.872517425285935,92.37421751022339,74.04794455037957,88.49517703056335
4.wav,214.26658376391364,96.78077101707458,288.3901005753283,88.94205689430237
40.wav,50.816141819790225,99.778813123703,33.7957118699101,98.45637679100037
41.wav,48.51109037195898,98.97109866142273,40.93009054730351,95.0437605381012
42.wav,65.88870353872899,99.96733665466309,46.25898317108742,99.42649602890015
43.wav,43.72666058207225,99.90732073783875,51.2725388633798,98.41287732124329
44.wav,55.63585594572448,99.9732255935669,38.33432053705568,99.68104958534241
45.wav,70.45663671142238,98.27273488044739,130.60438922441872,91.43755435943604
46.wav,56.83355809172836,99.81401562690735,128.03810039146722,97.72503972053528
47.wav,41.82477434639113,99.80608224868774,38.76330233955964,98.40236306190491
48.wav,46.747200722030385,99.88210797309875,45.86870447429966,98.6466646194458
49.wav,44.24770987706912,94.88951563835144,61.36951285774768,19.840411841869354
5.wav,35.4513775793277,99.94208812713623,96.203181678643,98.46031665802002
50.wav,54.45350994653003,90.93374609947205,137.82939565054045,1586.6707801818848
51.wav,177.61450425282868,35.22810935974121,335.7019354847244,317.5832271575928
52.wav,22.04545452304584,66.01094603538513,157.62773242949854,2721.5362548828125
53.wav,106.08910670370666,46.419766545295715,139.44616544128786,315.60800075531006
54.wav,44.91428135905329,55.439549684524536,95.90035247603782,178.22643518447876
55.wav,32.08009772997572,68.95573139190674,30.28751313974424,416.3991928100586
56.wav,218.12234199402744,401.2377738952637,531.6785592784066,6585.432434082031
57.wav,44.07544774966446,92.72132515907288,43.465920771079944,21.969199180603027
58.wav,42.30574720332647,82.18693733215332,18.343871485059754,82.52720236778259
59.wav,110.58642789764464,141.9204831123352,171.62239963174514,1099.2955207824707
6.wav,36.33259263708656,94.30623650550842,82.02263221033536,73.91157150268555
60.wav,46.40995077458675,38.81577253341675,212.43895552583248,1085.254192352295
61.wav,25.487746944906842,93.7085211277008,117.25954743164529,11.785834282636642
62.wav,120.85491267035881,27.29344666004181,255.1580491895646,505.40404319763184
63.wav,29.597634555755576,87.05678582191467,70.46866332667202,133.2326889038086
64.wav,21.09603169691077,0.02814673352986574,39.0706410410565,456.8220615386963
65.wav,399.20915297135,733.6803913116455,529.7591441789764,2210.4480743408203
66.wav,130.06118480266352,897.7212905883789,247.36483447796513,6313.906097412109
67.wav,135.8653486616546,1070.5599784851074,238.63630323927714,4208.150863647461
68.wav,39.344003706322475,660.4503154754639,196.80706279612752,21006.431579589844
69.wav,52.83666612628325,92.34952926635742,41.24830977625686,201.29053592681885
7.wav,52.999839616877686,62.81099319458008,131.05555878070027,302.86173820495605
70.wav,25.17567640752923,82.31599926948547,34.107302535571385,10.162747651338577
71.wav,147.09672949336908,29.565536975860596,434.542913147028,989.4796371459961
