File,Clear Centroid,Clear Mean,Wiener Centroid,Wiener Mean,Lib Wiener Centroid,Lib Wiener Mean,Noised Centroid,Noised Mean
0.wav,603.4259745085433,5.9798804e-06,827.5842280713154,0.00024412175,1441.3700734922375,0.0033371605,1434.6485368416124,0.002754906
1.wav,597.7592910903973,1.7194785e-05,993.2961340347475,0.00049742,1991.5134644459329,0.006634729,1987.723862621864,0.0064675384
10.wav,862.2624660134156,0.018876337,1339.82323032413,0.0014664656,3116.5198399756177,0.02282751,3112.285498344762,0.022587752
11.wav,1085.8927903724639,0.03443285,1020.6720219214045,0.0008009105,2641.3954993289994,0.016841898,2636.2061448615787,0.016726373
12.wav,1196.8724191239164,0.00253509,1216.1997671985869,0.0007975066,2247.9036877384337,0.008473842,2244.408268978024,0.008417019
13.wav,1515.4258379199614,0.018827872,1865.8010856870394,0.006222246,2427.9710754687867,0.02067761,2422.665353769493,0.020610817
14.wav,1475.6291616352942,0.007740158,2427.7367842133153,0.027658967,2732.0309730012314,0.04492506,2726.4417491721683,0.04469733
15.wav,969.5846565929298,0.00021080104,1138.1697746278446,0.0012597684,2689.3698218475774,0.018269848,2683.8657083043045,0.017994644
16.wav,939.4000873749696,0.0012236271,2301.3503213209465,0.014988394,3376.8098001138333,0.044433,3372.494419916395,0.044433035
17.wav,1412.9131459236226,0.0007101606,1893.1829357867516,0.009607968,2592.978078758868,0.02994925,2597.117499739565,0.030354038
18.wav,662.754184538317,0.00032624012,2019.4460881752607,0.010300619,2769.1403638645315,0.029640919,2769.3564596164165,0.029522428
19.wav,865.6313780233002,0.005205647,2896.298815860063,0.045057457,3551.612644498279,0.08669859,3555.011785091112,0.08682559
2.wav,1526.8777391471767,0.013739339,1176.3881134189119,0.0015644609,1789.4151697547277,0.009004657,1783.7166789560329,0.008860975
20.wav,463.61427387599053,9.127799e-06,1694.8526803847171,0.008179315,2534.8938291947707,0.02968537,2533.013951904474,0.029649826
21.wav,1873.4745761202428,0.012005917,2481.770401464904,0.032083984,3063.379405900079,0.067103736,3065.684743937692,0.067230664
22.wav,1275.4965912210498,0.006034774,2999.837343772195,0.045038227,3528.1667625214577,0.079661675,3529.0653670703755,0.07985432
23.wav,1308.6834125081073,0.004587159,1105.073696843018,0.0012784234,1736.5794812939935,0.008392328,1731.1071528740358,0.008108745
24.wav,684.3919803056419,5.9818074e-05,3166.537761055175,0.0667407,3502.072146709542,0.09538297,3501.04340090897,0.09532553
25.wav,409.1330490468937,0.00045760273,2236.0269905288774,0.014685201,2938.936486316797,0.039553463,2938.106755222821,0.039521743
26.wav,753.4771087194194,0.00041563166,2695.0643895872504,0.013054647,3457.029145046646,0.03521803,3458.60715290229,0.035162818
27.wav,821.1433081641227,0.00033606283,3083.450136609961,0.016390951,3948.9148436457144,0.03156788,3947.763228330572,0.031557065
28.wav,2122.8795540979268,0.038848743,2483.0981662613794,0.019497745,2757.7985564150717,0.030477542,2754.5429755566606,0.030350229
29.wav,1465.694040692579,0.002471582,954.9761855928278,0.00053826446,1763.8868721994675,0.0057779243,1764.2100187930546,0.005759548
3.wav,3510.803133350958,0.044832934,905.7715021083367,0.0006988105,1470.3447257152795,0.006100957,1466.7749011055237,0.0060880273
30.wav,1915.4866415137437,0.020926015,2131.1157557496713,0.011700666,2387.3473499181214,0.019414317,2393.725056553315,0.019474162
31.wav,3094.5161178736785,0.03461501,1838.9111308619379,0.006746303,2307.0164963052302,0.014070735,2310.1893200906034,0.014121522
32.wav,3760.2982354147744,0.10388274,2075.1624663058014,0.010813892,2503.2663623713393,0.021929119,2504.9046262025013,0.02195537
33.wav,1421.8930496641578,0.011195303,2282.76433583832,0.013172988,2522.65491578105,0.020321975,2524.7728030189132,0.020302434
34.wav,3525.9680286009593,0.09593469,1043.9741925937954,0.00053144066,2131.535457133645,0.006460665,2129.504197876425,0.0064364774
35.wav,3617.061911532466,0.09699125,1646.2181475212815,0.0068784673,1921.6789257336654,0.013231643,1920.6725817100207,0.013187727
36.wav,3572.2033859945223,0.11656837,1220.4246944254885,0.0027671806,1843.0999877931679,0.0106358575,1842.5668717040676,0.010628731
37.wav,763.4646307561725,0.3457924,1797.1644612910568,0.011310611,2328.812039250428,0.020961018,2331.455548196396,0.021046685
38.wav,5970.526133799422,0.21605627,2213.32624349892,0.016792051,2558.021005150943,0.029116005,2560.8748669237802,0.02912704
39.wav,1140.2954731346913,0.18134168,2104.1125541819015,0.01382872,2302.4995714026472,0.020863038,2302.332016814476,0.020855855
4.wav,599.688858754189,0.16303326,1887.6888302845184,0.005248411,2350.9497083697543,0.018028121,2347.5110600555777,0.01794749
40.wav,2196.771628054046,0.18094726,921.7540951833829,0.0004002374,1392.7625340498914,0.0027931528,1392.5366309944552,0.0027878317
41.wav,2195.1281497802297,0.25706363,1034.6298547725034,0.0026449317,1770.281088264066,0.012740692,1770.370175623967,0.012714947
42.wav,2000.3274034995509,0.16807374,527.7250108417219,5.4903165e-05,1074.181257974433,0.0009639071,1072.5829886366387,0.00095383916
43.wav,1032.5678241302576,0.15901493,530.7492347386291,0.00014737055,1313.4404607250024,0.0025237724,1314.2055229777752,0.002528095
44.wav,1640.672337059115,0.18866567,588.9107844953012,5.0521274e-05,954.6200963206891,0.0006017541,955.6350863023392,0.0006048451
45.wav,1247.1783554972549,0.14208968,1544.1905174959056,0.002454273,2464.782698391508,0.012166346,2458.7460273259767,0.011722065
46.wav,956.2977528698328,0.11773494,725.8667507985391,0.00021896437,1451.6815972847614,0.0026784213,1450.150879262295,0.0026718422
47.wav,1557.5109309671882,0.17415638,810.6113868748239,0.00033771797,1428.6345140524809,0.0027823884,1426.802014919168,0.0027716975
48.wav,1601.9890821889655,0.17456353,822.8249774055179,0.00020579605,1488.307200165917,0.0023624247,1486.4971449611608,0.0023311165
49.wav,1016.8166853474145,0.0024563721,504.3857177507854,0.0001255325,1322.6145214424917,0.0029437265,1315.3296569872198,0.0026143808
5.wav,1103.9968691283575,0.09416532,619.197145261462,5.4531734e-05,1512.3372108180513,0.0014498478,1508.4650359404513,0.001428779
50.wav,607.1854437204403,8.172582e-05,736.6850854053392,0.00015604217,1236.2064564027585,0.0013784454,1235.5868761081344,0.001373884
51.wav,541.9572081330684,0.0006717768,1030.3750486555798,0.00043512255,1636.8302475011112,0.0028052274,1636.9677048869742,0.0028163465
